simp,freq,famsize,semrad,semfreq,semfamsize,phon,phonfreq,phonfam
龃,0.0988,1,齿,101.8469,10,且,1299.7877,15
龉,0.084,1,齿,101.8469,10,吾,312.1975,10
扈,0.5975,1,戶,2274.1827,8,户,401.8272,9
蚜,0.3753,1,虫,1653.4963,97,牙,575.3481,7
骤,8.479,6,马,1869.2049,34,聚,8.479,1
柚,9.3728,3,木,23327.0765,210,由,930.6568,14
颖,15.7284,3,页,3263.0321,33,顷,71.5506,2
嗖,2.2667,1,口,50016.563,297,叟,182.1679,8
掼,0.2914,0,扌,19245.0025,233,贯,140.7062,2
讫,0.0444,0,讠,19842.7358,108,乞,1535.1012,6
瑰,32.8494,7,王,7173.763,52,鬼,66.3901,5
纰,0.2667,1,纟,11417.6494,100,比,265.3136,12
喔,101.0765,0,口,50016.563,297,屋,172.3457,5
玛,136.9877,4,王,7173.763,52,马,4053.6296,7
晰,30.0691,4,日,29708.8296,72,析,31.684,2
蝼,0.1481,1,虫,1653.4963,97,娄,722.2716,13
悼,4.3457,5,忄,9431.3086,100,卓,463.684,6
哽,1.9605,1,口,50016.563,297,更,81.042,3
厥,1.2988,4,厂,1784.8691,17,欮,2.1333,2
嗷,12.8346,1,口,50016.563,297,敖,146.3012,7
坍,1.2593,1,土,17088.4346,84,丹,1.2593,1
痫,1.6346,3,疒,1856.2963,68,闲,6.7062,2
摁,1.6247,0,扌,19245.0025,233,恩,209.0173,2
篝,1.4321,1,⺮,5914.6074,56,冓,1.6099,2
嘎,41.6346,2,口,50016.563,297,戛,41.6346,1
铂,1.1753,0,钅,3731.8272,120,白,887.2938,14
廓,3.5062,1,广,5275.8617,28,郭,3.5062,1
疤,11.5852,5,疒,1856.2963,68,巴,5324.5086,12
玑,0.7309,0,王,7173.763,52,几,1575.4617,7
钥,35.3827,3,钅,3731.8272,120,月,35.3827,1
蜗,16.642,2,虫,1653.4963,97,呙,278.3309,8
猖,1.9654,2,犭,1997.2346,39,昌,295.0963,4
獗,0.6864,1,犭,1997.2346,39,厥,3.2444,5
呱,6.6469,5,口,50016.563,297,瓜,167.3136,4
暄,2.2765,1,日,29708.8296,72,宣,23.3235,5
嶂,0.2173,1,山,1569.0568,42,章,50.8889,6
蝾,0.1136,1,虫,1653.4963,97,荣,0.1136,1
